{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: original_144p, transmission: tcp, seq_bytes: 0, t: 0:00:07.909722, tr: 0:00:00.002001, image save only}
{X: 192, Y: 144, PayloadSize: 65, Method: None, Experiment: tcp_res144p_payload_65, transmission: tcp, seq_bytes: 0, t: 0:00:09.674633, tr: 0:00:00.001001, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 65, Method: None, Experiment: udp_res144p_payload_65, transmission: udp, seq_bytes: 2, t: 0:00:04.602245, tr: 0:00:00.001999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 70, Method: None, Experiment: tcp_res144p_payload_70, transmission: tcp, seq_bytes: 0, t: 0:00:08.665324, tr: 0:00:00.001999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 70, Method: None, Experiment: udp_res144p_payload_70, transmission: udp, seq_bytes: 2, t: 0:00:04.116416, tr: 0:00:00.001999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 75, Method: None, Experiment: tcp_res144p_payload_75, transmission: tcp, seq_bytes: 0, t: 0:00:08.170581, tr: 0:00:00.001001, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 75, Method: None, Experiment: udp_res144p_payload_75, transmission: udp, seq_bytes: 2, t: 0:00:04.282022, tr: 0:00:00.002000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: tcp_res144p_payload_80, transmission: tcp, seq_bytes: 0, t: 0:00:07.816125, tr: 0:00:00.000998, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_payload_80, transmission: udp, seq_bytes: 2, t: 0:00:03.678556, tr: 0:00:00.002003, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 85, Method: None, Experiment: tcp_res144p_payload_85, transmission: tcp, seq_bytes: 0, t: 0:00:23.112863, tr: 0:00:00.001999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 85, Method: None, Experiment: udp_res144p_payload_85, transmission: udp, seq_bytes: 2, t: 0:00:04.034774, tr: 0:00:00.001999, MSE: 44900.23220486111, SSIM: 0.09993768589698024}
{X: 192, Y: 144, PayloadSize: 90, Method: None, Experiment: tcp_res144p_payload_90, transmission: tcp, seq_bytes: 0, t: 0:00:21.689391, tr: 0:00:00.000999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 90, Method: None, Experiment: udp_res144p_payload_90, transmission: udp, seq_bytes: 2, t: 0:00:03.821010, tr: 0:00:00.006001, MSE: 25920.038953993055, SSIM: 0.06215676874371738}
{X: 192, Y: 144, PayloadSize: 95, Method: None, Experiment: tcp_res144p_payload_95, transmission: tcp, seq_bytes: 0, t: 0:00:20.447549, tr: 0:00:00.002000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 95, Method: None, Experiment: udp_res144p_payload_95, transmission: udp, seq_bytes: 2, t: 0:00:03.469651, tr: 0:00:00.001999, MSE: 23411.176432291668, SSIM: 0.10116564678696185}
{X: 192, Y: 144, PayloadSize: 100, Method: None, Experiment: tcp_res144p_payload_100, transmission: tcp, seq_bytes: 0, t: 0:00:19.502826, tr: 0:00:00.001000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 100, Method: None, Experiment: udp_res144p_payload_100, transmission: udp, seq_bytes: 2, t: 0:00:03.286743, tr: 0:00:00.003002, MSE: 18055.403211805555, SSIM: 0.1078889676471456}
{X: 192, Y: 144, PayloadSize: 105, Method: None, Experiment: tcp_res144p_payload_105, transmission: tcp, seq_bytes: 0, t: 0:00:18.625002, tr: 0:00:00.002000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
{X: 192, Y: 144, PayloadSize: 105, Method: None, Experiment: udp_res144p_payload_105, transmission: udp, seq_bytes: 2, t: 0:00:03.354715, tr: 0:00:00.001990, MSE: 17612.2626953125, SSIM: 0.1347701598053275}
{X: 192, Y: 144, PayloadSize: 110, Method: None, Experiment: tcp_res144p_payload_110, transmission: tcp, seq_bytes: 0, t: 0:00:17.819550, tr: 0:00:00.001999, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
